"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Population, female","SP.POP.TOTL.FE.IN","27635","28252","28660","28909","29092","29266","29451","29625","29799","29992","30182","30402","30639","30885","31064","31148","31111","30989","30833","30749","30806","31044","31455","31918","32222","32302","32056","31574","31100","30994","31493","32694","34485","36628","38788","40708","42300","43614","44759","45858","47019","48249","49506","50706","51716","52454","52895","53086","53109","53112","53200","53402","53695","54050","54408","54742","55044","55328","55602","55867","56124",
"Africa Eastern and Southern","AFE","Population, female","SP.POP.TOTL.FE.IN","66138022","67805115","69546443","71357834","73231854","75164402","77154237","79207498","81335432","83553176","85871917","88297078","90827274","93457685","96181276","98993012","101893329","104886141","107971412","111156037","114440574","117822046","121301361","124889257","128602985","132449478","136433885","140550131","144777629","149093423","153477806","157930982","162454689","167041513","171686690","176383443","181135920","185952841","190850451","195855459","200985544","206249128","211655114","217219737","222965267","228908107","235056143","241410391","247972024","254736483","261702432","268866603","276231936","283785702","291513480","299403888","307452123","315655751","324003969","332485163","341090736",
"Afghanistan","AFG","Population, female","SP.POP.TOTL.FE.IN","4347394","4439156","4535392","4636170","4741527","4851553","4964718","5080813","5202606","5333936","5476630","5630099","5790327","5951120","6104377","6242891","6369361","6482150","6565176","6597855","6568227","6472949","6324845","6149028","5980043","5846315","5747657","5686382","5695339","5814528","6067694","6477343","7024451","7639816","8227017","8718035","9082951","9344885","9553498","9784258","10090449","10489238","10958668","11466237","11962963","12414590","12809162","13161572","13496556","13850751","14249755","14702050","15196504","15715314","16232001","16727437","17196034","17644126","18078879","18512030","18952076",
"Africa Western and Central","AFW","Population, female","SP.POP.TOTL.FE.IN","48397739","49400141","50445679","51532824","52658782","53822355","55024373","56268018","57557198","58896996","60291982","61743502","63253780","64829150","66477189","68203397","70010205","71896840","73860750","75897687","78003993","80179451","82423628","84732381","87100632","89524454","92003929","94539646","97129772","99772059","102466336","105211784","108012390","110878731","113824716","116861054","119994768","123226195","126551874","129965003","133462296","137042841","140713935","144490048","148390233","152428247","156610597","160934220","165391199","169968863","174658066","179456229","184366749","189393102","194540936","199813894","205213033","210735530","216376208","222127882","227985427",
"Angola","AGO","Population, female","SP.POP.TOTL.FE.IN","2691228","2723756","2764418","2805973","2838088","2854424","2851120","2833547","2815789","2817270","2851560","2924403","3030866","3161052","3300203","3437420","3569942","3700950","3832790","3969827","4115191","4268958","4429534","4596506","4769228","4947169","5130467","5319218","5512806","5710436","5911638","6116458","6325395","6539142","6758623","6984738","7218187","7459618","7709857","7969817","8240458","8521795","8814755","9122235","9447886","9794134","10162225","10551020","10957506","11377265","11806970","12245836","12694373","13151985","13618285","14093136","14576127","15067450","15568328","16080520","16605398",
"Albania","ALB","Population, female","SP.POP.TOTL.FE.IN","781769","806619","831763","856833","881990","906689","930924","955715","983247","1012156","1038402","1064057","1091186","1117546","1143735","1170481","1196620","1223320","1248859","1273859","1300202","1326732","1355555","1385115","1414748","1443843","1470768","1498508","1525951","1569250","1603543","1604790","1610302","1617124","1620663","1617400","1605627","1586848","1564426","1543050","1525873","1509233","1506138","1504374","1502239","1497383","1489229","1478257","1466219","1454862","1445588","1438949","1433116","1426832","1420670","1414246","1410814","1409327","1406333","1401011","1393417",
"Andorra","AND","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, female","SP.POP.TOTL.FE.IN","45716025","46969169","48265240","49607127","50998498","52441567","53942667","55501207","57104967","58736777","60387009","62048151","63731746","65470344","67308412","69277165","71386995","73626588","75978732","78416279","80917479","83477695","86097193","88764609","91467562","94196173","96942174","99703017","102481953","105285968","109094445","112002329","114118533","117133273","120137014","123778399","126711341","129642307","132547056","135454007","138369759","141291510","144229745","147220575","150310846","153533815","156899292","160396838","164016302","167730225","171518007","175384870","179326140","183297548","187242559","191123779","194912155","198619733","202328788","206119753","210055400",
"United Arab Emirates","ARE","Population, female","SP.POP.TOTL.FE.IN","46149","48642","51736","55203","58666","61926","64924","67995","71880","77557","85787","96772","110434","126830","145927","167657","192027","218891","247898","278570","310457","343530","377622","412013","445799","478413","509470","539222","568502","598501","630117","663919","699752","736910","774363","811508","848997","887893","928516","971239","1016932","1063983","1113817","1173726","1253344","1358723","1492804","1651188","1823380","1994691","2154032","2298030","2428283","2544751","2648905","2742042","2823141","2891724","2950609","3003720","3054051",
"Argentina","ARG","Population, female","SP.POP.TOTL.FE.IN","10150763","10327991","10506338","10685346","10864242","11042732","11220248","11397726","11578202","11765723","11963004","12171705","12390591","12615982","12842564","13066623","13286643","13504149","13722164","13945156","14176264","14415896","14662612","14915338","15172424","15432267","15694882","15959635","16223439","16482397","16733715","16975913","17209618","17436832","17660730","17883600","18106091","18327460","18546976","18763440","18976071","19185008","19390957","19594321","19795649","19995559","20193900","20391134","20589210","20790604","20941910","21178884","21415097","21650186","21883730","22115261","22344847","22572521","22797803","23020216","23239321",
