"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Population, male","SP.POP.TOTL.MA.IN","26573","27182","27574","27790","27937","28091","28251","28419","28578","28742","28888","29040","29210","29351","29463","29505","29475","29377","29269","29223","29291","29517","29886","30295","30604","30722","30589","30264","29972","30039","30659","31929","33755","35867","37917","39616","40911","41836","42521","43151","43847","44643","45486","46310","47028","47574","47935","48140","48253","48340","48465","48648","48870","49115","49368","49597","49821","50033","50244","50443","50642",
"Africa Eastern and Southern","AFE","Population, male","SP.POP.TOTL.MA.IN","64698743","66354671","68068201","69844202","71688332","73605572","75598434","77668956","79820998","82058584","84385272","86803089","89313874","91918865","94619520","97416925","100312437","103306904","106396981","109584347","112865371","116236358","119697773","123257033","126927078","130711973","134616180","138634405","142746629","146931216","151170204","155463711","159815384","164224066","168693244","173222217","177817675","182487750","187247942","192122531","197127500","202273001","207568603","213026898","218664882","224495969","230525229","236756520","243201136","249868189","256765797","263893821","271250927","278815876","286561893","294467959","302526823","310737129","319086162","327561109","336152563",
"Afghanistan","AFG","Population, male","SP.POP.TOTL.MA.IN","4649573","4730250","4816050","4907030","5003245","5104765","5210122","5319123","5434458","5559836","5697024","5845351","6000895","6157843","6308583","6446273","6573732","6689144","6776023","6813205","6788273","6698730","6557673","6388704","6224263","6091889","5988520","5918156","5922669","6054345","6344617","6821673","7461092","8176785","8848711","9392627","9770493","10012241","10184272","10386589","10689508","11117754","11642106","12214634","12763726","13239684","13623896","13938970","14225725","14544055","14935756","15415361","15964874","16554278","17138803","17686166","18186994","18651985","19093043","19529727","19976265",
"Africa Western and Central","AFW","Population, male","SP.POP.TOTL.MA.IN","47998680","49007080","50061281","51158515","52294688","53467520","54677438","55927932","57223918","58571745","59977062","61440806","62964722","64555804","66222348","67970147","69802966","71718875","73710313","75766166","77878277","80044137","82266136","84547041","86891219","89302099","91781683","94328921","96940307","99610724","102337529","105120483","107963976","110876075","113867420","116946573","120119411","123387555","126750436","130205345","133752248","137391053","141128545","144979482","148962865","153092341","157374877","161807436","166381131","171081674","175898820","180829210","185876268","191044794","196342043","201772757","207338266","213034400","218853173","224783716","230818049",
"Angola","AGO","Population, male","SP.POP.TOTL.MA.IN","2763710","2807695","2844081","2873436","2896907","2916149","2930185","2940893","2956184","2986407","3038800","3116836","3218099","3336231","3461420","3586574","3709688","3832864","3957984","4088285","4226099","4371520","4523437","4681598","4845528","5014824","5189649","5370029","5555245","5744348","5936747","6132443","6331966","6535902","6745130","6960467","7182535","7411954","7649743","7897054","8155019","8423958","8704663","8999242","9310252","9639470","9987680","10354340","10738130","11137010","11549277","11974824","12413552","12863801","13323488","13791244","14266355","14749319","15241459","15744779","16260870",
"Albania","ALB","Population, male","SP.POP.TOTL.MA.IN","827031","853181","879556","905788","932145","958102","983649","1009883","1039025","1069539","1097077","1123796","1151940","1179206","1206389","1234350","1261906","1290226","1317407","1343973","1371795","1399324","1428723","1458845","1489681","1520919","1551867","1585097","1616385","1658693","1682999","1662000","1636737","1610163","1586873","1570384","1562406","1561433","1564104","1565728","1563154","1550940","1544872","1535242","1524700","1514104","1503318","1491760","1481095","1472657","1467433","1466246","1467285","1468260","1468434","1466457","1465287","1464130","1460043","1453180","1444326",
"Andorra","AND","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, male","SP.POP.TOTL.MA.IN","46481690","47755371","49069198","50427064","51834294","53294861","54815967","56398128","58031194","59700416","61398621","63116569","64866997","66690958","68643858","70763415","73066283","75535248","78132428","80802260","83503292","86221283","88964601","91741358","94567718","97454155","100395966","103381941","106407716","109467997","113558926","116729342","118837831","122110021","125312415","129328903","132289596","135179860","138028721","140939802","143974382","147140643","150435457","153893294","157552000","161431961","165553472","169893914","174379634","178898954","183372090","187771976","192111502","196398929","200657276","204904522","209130737","213323092","217523201","221750520","226025328",
"United Arab Emirates","ARE","Population, male","SP.POP.TOTL.MA.IN","46268","52159","60376","69927","79383","87929","95055","101773","110740","125546","148725","180691","220534","267795","321530","380638","445899","516456","587600","653182","709050","753072","787194","816444","848171","887752","936916","994304","1058566","1127175","1198320","1273240","1353140","1436225","1520014","1603591","1690124","1783468","1884698","1994790","2117135","2238739","2364952","2538205","2815233","3229499","3807368","4517658","5266106","5922677","6395966","6648748","6713315","6653157","6565277","6520854","6537834","6595482","6680357","6766806","6836349",
"Argentina","ARG","Population, male","SP.POP.TOTL.MA.IN","10331018","10489279","10646704","10803570","10960185","11116912","11273783","11431146","11590066","11751890","11917560","12087859","12262581","12440493","12619741","12799152","12978038","13157248","13338877","13525890","13720268","13922618","14131938","14346711","14564673","14784017","15004082","15224776","15445500","15665740","15884933","16103089","16319702","16533271","16741939","16944568","17140285","17329978","17516475","17703778","17894725","18090636","18290786","18493545","18696321","18897365","19095976","19293169","19490949","19692182","19846543","20082606","20318174","20552749","20785770","21016705","21245521","21472290","21696699","21918496","22137442",
