,country,Year,GDPs,%female in the house,Region,Country Name,Indicator Name,Pop
0,Albania,1960,2690,11.1,Europe & Central Asia,Albania,"Population, female",781769.0
1,Argentina,1960,10800,0.81,Latin America & Caribbean,Argentina,"Population, female",10150763.0
2,Australia,1960,15900,2.72,East Asia & Pacific,Australia,"Population, female",5088220.0
3,Austria,1960,12600,12.5,Europe & Central Asia,Austria,"Population, female",3764742.0
4,Burundi,1960,705,0.0,Sub-Saharan Africa,Burundi,"Population, female",1447143.0
5,Belgium,1960,13400,3.62,Europe & Central Asia,Belgium,"Population, female",4649965.0
6,Bulgaria,1960,5670,19.6,Europe & Central Asia,Bulgaria,"Population, female",3939336.0
7,Bolivia,1960,2950,0.0,Latin America & Caribbean,Bolivia,"Population, female",1844839.0
8,Brazil,1960,4150,0.5,Latin America & Caribbean,Brazil,"Population, female",36243379.0
9,Bhutan,1960,1080,0.34,South Asia,Bhutan,"Population, female",109473.0
10,Canada,1960,16200,7.29,North America,Canada,"Population, female",8853955.0
11,Cote d'Ivoire,1960,2430,0.82,Sub-Saharan Africa,Cote d'Ivoire,"Population, female",1704428.0
12,Cameroon,1960,2570,1.33,Sub-Saharan Africa,Cameroon,"Population, female",2630071.0
13,"Congo, Dem. Rep.",1960,2440,0.0,Sub-Saharan Africa,"Congo, Dem. Rep.","Population, female",7964767.0
14,"Congo, Rep.",1960,2340,2.65,Sub-Saharan Africa,"Congo, Rep.","Population, female",517667.0
15,Costa Rica,1960,5010,2.31,Latin America & Caribbean,Costa Rica,"Population, female",654550.0
16,Cuba,1960,3530,9.13,Latin America & Caribbean,Cuba,"Population, female",3492801.0
17,Cyprus,1960,4480,0.0,Europe & Central Asia,Cyprus,"Population, female",291266.0
18,Denmark,1960,17200,9.5,Europe & Central Asia,Denmark,"Population, female",2307409.0
19,Dominican Republic,1960,2290,3.33,Latin America & Caribbean,Dominican Republic,"Population, female",1626249.0
20,Ecuador,1960,4200,1.62,Latin America & Caribbean,Ecuador,"Population, female",2272213.0
21,"Egypt, Arab Rep.",1960,1910,1.34,Middle East & North Africa,"Egypt, Arab Rep.","Population, female",13082041.0
22,Spain,1960,6480,0.42,Europe & Central Asia,Spain,"Population, female",15662621.0
23,Ethiopia,1960,823,1.47,Sub-Saharan Africa,Ethiopia,"Population, female",11140494.0
24,Finland,1960,12200,14.1,Europe & Central Asia,Finland,"Population, female",2296097.0
25,France,1960,14200,1.81,Europe & Central Asia,France,"Population, female",24007012.0
26,Gabon,1960,6320,1.49,Sub-Saharan Africa,Gabon,"Population, female",256100.0
27,United Kingdom,1960,16200,4.22,Europe & Central Asia,United Kingdom,"Population, female",27094990.0
28,Ghana,1960,2530,9.62,Sub-Saharan Africa,Ghana,"Population, female",3264382.0
29,Greece,1960,6290,0.67,Europe & Central Asia,Greece,"Population, female",4247746.0
30,Guatemala,1960,4050,0.0,Latin America & Caribbean,Guatemala,"Population, female",2038411.0
31,Honduras,1960,2460,4.1,Latin America & Caribbean,Honduras,"Population, female",1015974.0
32,Haiti,1960,2010,5.17,Latin America & Caribbean,Haiti,"Population, female",1968721.0
33,Hungary,1960,7000,18.3,Europe & Central Asia,Hungary,"Population, female",5169920.0
34,Indonesia,1960,1940,9.04,East Asia & Pacific,Indonesia,"Population, female",44149134.0
35,India,1960,1380,7.79,South Asia,India,"Population, female",218042936.0
36,Ireland,1960,8330,2.94,Europe & Central Asia,Ireland,"Population, female",1406677.0
37,"Iran, Islamic Rep.",1960,4210,2.55,Middle East & North Africa,"Iran, Islamic Rep.","Population, female",10664384.0
38,Iraq,1960,5430,1.37,Middle East & North Africa,Iraq,"Population, female",3623127.0
39,Iceland,1960,12400,2.91,Europe & Central Asia,Iceland,"Population, female",86862.0
40,Israel,1960,9160,8.33,Middle East & North Africa,Israel,"Population, female",1041376.0
41,Italy,1960,11800,3.54,Europe & Central Asia,Italy,"Population, female",25794879.0
42,Jordan,1960,4950,0.0,Middle East & North Africa,Jordan,"Population, female",445333.0
43,Japan,1960,8100,3.21,East Asia & Pacific,Japan,"Population, female",47332158.0
44,Cambodia,1960,1190,0.25,East Asia & Pacific,Cambodia,"Population, female",2866294.0
45,"Korea, Rep.",1960,1830,0.53,East Asia & Pacific,"Korea, Rep.","Population, female",12420958.0
46,Lao PDR,1960,901,0.0,East Asia & Pacific,Lao PDR,"Population, female",1078621.0
47,Lebanon,1960,6930,0.0,Middle East & North Africa,Lebanon,"Population, female",897324.0
48,Libya,1960,3580,0.0,Middle East & North Africa,Libya,"Population, female",705220.0
49,Sri Lanka,1960,2350,2.67,South Asia,Sri Lanka,"Population, female",4691266.0
50,Luxembourg,1960,19200,0.0,Europe & Central Asia,Luxembourg,"Population, female",158903.0
51,Madagascar,1960,2080,0.25,Sub-Saharan Africa,Madagascar,"Population, female",2506564.0
52,Mexico,1960,5590,4.29,Latin America & Caribbean,Mexico,"Population, female",18925203.0
53,Myanmar,1960,1020,1.76,East Asia & Pacific,Myanmar,"Population, female",11031869.0
54,Mongolia,1960,1080,20.6,East Asia & Pacific,Mongolia,"Population, female",485667.0
