,country_life,Year,liver_death,country_pop,LifeExpectancy,Region,Country Name,Indicator Name,Pop
0,Afghanistan,1989,0.0020465977633954122,Afghanistan,51.4,South Asia,Afghanistan,"Population, female",5814528.0
1,Angola,1989,0.002731840440905038,Angola,47.1,Sub-Saharan Africa,Angola,"Population, female",5710436.0
2,Albania,1989,0.005066114385853115,Albania,75.0,Europe & Central Asia,Albania,"Population, female",1569250.0
3,United Arab Emirates,1989,0.0010075171135887828,United Arab Emirates,73.5,Middle East & North Africa,United Arab Emirates,"Population, female",598501.0
4,Argentina,1989,0.004319760044610016,Argentina,75.1,Latin America & Caribbean,Argentina,"Population, female",16482397.0
5,Armenia,1989,0.006546295511881801,Armenia,70.8,Europe & Central Asia,Armenia,"Population, female",1817822.0
8,Antigua and Barbuda,1989,0.005261839138060636,Antigua and Barbuda,73.3,Latin America & Caribbean,Antigua and Barbuda,"Population, female",31928.0
9,Australia,1989,0.0014474144254779107,Australia,80.0,East Asia & Pacific,Australia,"Population, female",8428823.0
10,Austria,1989,0.004949287390547263,Austria,78.8,Europe & Central Asia,Austria,"Population, female",3980371.0
11,Azerbaijan,1989,0.00461497129652674,Azerbaijan,68.8,Europe & Central Asia,Azerbaijan,"Population, female",3640326.0
12,Burundi,1989,0.0038018070025593914,Burundi,49.1,Sub-Saharan Africa,Burundi,"Population, female",2709238.0
13,Belgium,1989,0.004905120394111649,Belgium,79.2,Europe & Central Asia,Belgium,"Population, female",5076328.0
14,Benin,1989,0.006783838635091667,Benin,55.8,Sub-Saharan Africa,Benin,"Population, female",2476474.0
15,Burkina Faso,1989,0.007542828911777159,Burkina Faso,50.5,Sub-Saharan Africa,Burkina Faso,"Population, female",4388274.0
16,Bangladesh,1989,0.0009192146181059263,Bangladesh,58.2,South Asia,Bangladesh,"Population, female",48737258.0
17,Bulgaria,1989,0.0074061849873739,Bulgaria,74.8,Europe & Central Asia,Bulgaria,"Population, female",4496242.0
18,Bahrain,1989,0.0014755191278260356,Bahrain,73.7,Middle East & North Africa,Bahrain,"Population, female",203996.0
19,"Bahamas, The",1989,0.0035090762849527657,"Bahamas, The",73.7,Latin America & Caribbean,"Bahamas, The","Population, female",126814.0
20,Bosnia and Herzegovina,1989,0.003584197865313321,Bosnia and Herzegovina,74.3,Europe & Central Asia,Bosnia and Herzegovina,"Population, female",2273870.0
21,Belarus,1989,0.0021839027489598236,Belarus,75.5,Europe & Central Asia,Belarus,"Population, female",5403171.0
22,Belize,1989,0.004968944099378881,Belize,73.6,Latin America & Caribbean,Belize,"Population, female",90965.0
23,Bolivia,1989,0.004397725508333689,Bolivia,57.6,Latin America & Caribbean,Bolivia,"Population, female",3342637.0
24,Brazil,1989,0.0026781609528238686,Brazil,69.8,Latin America & Caribbean,Brazil,"Population, female",73557939.0
25,Barbados,1989,0.00680680235830889,Barbados,76.6,Latin America & Caribbean,Barbados,"Population, female",135012.0
26,Brunei Darussalam,1989,0.0025842403427695985,Brunei Darussalam,71.8,East Asia & Pacific,Brunei Darussalam,"Population, female",118797.0
27,Bhutan,1989,0.000993455806985729,Bhutan,53.2,South Asia,Bhutan,"Population, female",253660.0
28,Botswana,1989,0.0019235918538193302,Botswana,63.1,Sub-Saharan Africa,Botswana,"Population, female",649826.0
29,Central African Republic,1989,0.0042261514827764595,Central African Republic,51.1,Sub-Saharan Africa,Central African Republic,"Population, female",1393703.0
30,Canada,1989,0.002058568829121693,Canada,80.5,North America,Canada,"Population, female",13747415.0
31,Switzerland,1989,0.002823817860515739,Switzerland,80.9,Europe & Central Asia,Switzerland,"Population, female",3403194.0
32,Chile,1989,0.0038520934547966613,Chile,76.5,Latin America & Caribbean,Chile,"Population, female",6645737.0
33,China,1989,0.01408167873409314,China,71.0,East Asia & Pacific,China,"Population, female",544679377.0
34,Cote d'Ivoire,1989,0.003629913609871042,Cote d'Ivoire,55.3,Sub-Saharan Africa,Cote d'Ivoire,"Population, female",5509773.0
35,Cameroon,1989,0.008961150368103177,Cameroon,54.9,Sub-Saharan Africa,Cameroon,"Population, female",5747030.0
36,"Congo, Dem. Rep.",1989,0.0033132303182033477,"Congo, Dem. Rep.",50.5,Sub-Saharan Africa,"Congo, Dem. Rep.","Population, female",16962298.0
37,"Congo, Rep.",1989,0.005336133516580619,"Congo, Rep.",57.8,Sub-Saharan Africa,"Congo, Rep.","Population, female",1165638.0
38,Colombia,1989,0.003689676449415235,Colombia,73.6,Latin America & Caribbean,Colombia,"Population, female",16451307.0
39,Comoros,1989,0.0032058357247496537,Comoros,58.3,Sub-Saharan Africa,Comoros,"Population, female",199324.0
40,Cabo Verde,1989,0.00391696492483894,Cabo Verde,66.2,Sub-Saharan Africa,Cabo Verde,"Population, female",174625.0
41,Costa Rica,1989,0.0032898838724055683,Costa Rica,78.3,Latin America & Caribbean,Costa Rica,"Population, female",1507652.0
42,Cuba,1989,0.0060267733685276555,Cuba,76.6,Latin America & Caribbean,Cuba,"Population, female",5243270.0
43,Cyprus,1989,0.0022060451577713813,Cyprus,78.6,Europe & Central Asia,Cyprus,"Population, female",370346.0
44,Czech Republic,1989,0.006020362328286045,Czech Republic,75.6,Europe & Central Asia,Czech Republic,"Population, female",5331905.0
45,Germany,1989,0.0038220997778257502,Germany,78.6,Europe & Central Asia,Germany,"Population, female",40815261.0
46,Djibouti,1989,0.0023698120210856165,Djibouti,58.3,Middle East & North Africa,Djibouti,"Population, female",280191.0
47,Denmark,1989,0.0037860282872046467,Denmark,77.7,Europe & Central Asia,Denmark,"Population, female",2601671.0
48,Dominican Republic,1989,0.0025549023483523036,Dominican Republic,69.2,Latin America & Caribbean,Dominican Republic,"Population, female",3475671.0
49,Algeria,1989,0.0012171421984812322,Algeria,68.5,Middle East & North Africa,Algeria,"Population, female",12406110.0
