year,BMI_females,BMI_male
1979,23.554773869346732,23.155276381909545
1980,23.63819095477387,23.209547738693466
1981,23.718090452261304,23.267336683417085
1982,23.797989949748743,23.314070351758794
1983,23.872864321608038,23.371356783919595
1984,23.94824120603015,23.426633165829145
1985,24.02562814070352,23.47688442211055
1986,24.098492462311558,23.535678391959802
1987,24.180904522613066,23.592964824120603
1988,24.256783919597993,23.64824120603015
1989,24.332663316582913,23.705527638190954
1990,24.410050251256283,23.76582914572864
1991,24.479899497487438,23.820603015075378
1992,24.548241206030152,23.880904522613065
1993,24.624120603015076,23.939195979899495
1994,24.7,23.997487437185928
1995,24.781407035175878,24.068341708542714
1996,24.866331658291454,24.138693467336687
1997,24.959296482412057,24.210552763819095
1998,25.050753768844224,24.287437185929647
1999,25.141206030150755,24.368844221105526
2000,25.235678391959798,24.446733668341707
2001,25.332160804020102,24.52562814070352
2002,25.428140703517588,24.609045226130654
2003,25.52462311557789,24.698492462311556
2004,25.62562814070352,24.798994974874372
2005,25.724623115577888,24.88793969849246
2006,25.824623115577893,24.990452261306533
2007,25.921608040201004,25.097989949748744
