,country,year,BMI_females,female,BMI_male,male
0,Afghanistan,1979,20.4,f,21.5,m
1,Angola,1979,20.1,f,20.9,m
2,Albania,1979,25.2,f,25.2,m
3,Andorra,1979,25.7,f,25.7,m
4,Netherlands Antilles,1979,26.5,f,24.6,m
5,United Arab Emirates,1979,27.2,f,24.9,m
6,Argentina,1979,23.8,f,25.4,m
7,Armenia,1979,25.8,f,23.8,m
8,Antigua and Barbuda,1979,24.2,f,23.3,m
9,Australia,1979,23.6,f,24.9,m
10,Austria,1979,23.9,f,24.8,m
11,Azerbaijan,1979,26.2,f,24.5,m
12,Burundi,1979,19.2,f,21.1,m
13,Belgium,1979,25.0,f,25.1,m
14,Benin,1979,20.9,f,20.8,m
15,Burkina Faso,1979,19.4,f,20.0,m
16,Bangladesh,1979,18.5,f,20.5,m
17,Bulgaria,1979,25.5,f,25.3,m
18,Bahrain,1979,25.2,f,24.0,m
19,Bahamas,1979,25.7,f,24.2,m
20,Bosnia and Herzegovina,1979,25.0,f,25.3,m
21,Belarus,1979,26.3,f,24.9,m
22,Belize,1979,25.8,f,24.5,m
23,Bermuda,1979,27.4,f,25.1,m
24,Bolivia,1979,23.6,f,23.0,m
25,Brazil,1979,24.1,f,22.6,m
26,Barbados,1979,26.6,f,24.4,m
27,Brunei,1979,23.0,f,23.2,m
28,Bhutan,1979,20.1,f,21.8,m
29,Botswana,1979,23.4,f,19.5,m
30,Central African Republic,1979,19.9,f,21.0,m
31,Canada,1979,24.1,f,25.2,m
32,Switzerland,1979,23.7,f,25.2,m
33,Chile,1979,24.0,f,24.5,m
34,China,1979,21.9,f,21.6,m
35,Cote d'Ivoire,1979,21.3,f,21.1,m
36,Cameroon,1979,21.5,f,21.8,m
37,"Congo, Dem. Rep.",1979,19.8,f,20.8,m
38,"Congo, Rep.",1979,19.8,f,20.6,m
39,Cook Is,1979,26.3,f,26.2,m
40,Colombia,1979,23.4,f,22.1,m
41,Comoros,1979,20.8,f,21.0,m
42,Cape Verde,1979,20.8,f,20.7,m
43,Costa Rica,1979,23.4,f,23.7,m
44,Cuba,1979,23.8,f,22.7,m
45,Cyprus,1979,23.8,f,25.3,m
46,Czech Republic,1979,26.8,f,26.3,m
47,Germany,1979,24.7,f,25.5,m
48,Djibouti,1979,21.9,f,21.2,m
49,Dominica,1979,25.0,f,22.3,m
50,Denmark,1979,23.4,f,24.6,m
51,Dominican Republic,1979,22.6,f,22.9,m
52,Algeria,1979,23.7,f,22.3,m
53,Ecuador,1979,24.7,f,23.8,m
54,Egypt,1979,25.4,f,24.3,m
55,Eritrea,1979,18.6,f,20.0,m
56,Spain,1979,25.1,f,25.3,m
57,Estonia,1979,26.0,f,24.7,m
58,Ethiopia,1979,18.8,f,19.5,m
59,Finland,1979,25.0,f,25.5,m
60,Fiji,1979,23.5,f,22.3,m
61,France,1979,24.1,f,24.7,m
62,"Micronesia, Fed. Sts.",1979,25.8,f,24.4,m
63,Gabon,1979,21.9,f,22.3,m
64,United Kingdom,1979,24.2,f,24.7,m
65,Georgia,1979,25.8,f,24.6,m
66,Ghana,1979,20.9,f,21.0,m
67,Guinea,1979,20.4,f,21.1,m
68,Gambia,1979,20.0,f,19.9,m
69,Guinea-Bissau,1979,20.4,f,20.7,m
70,Equatorial Guinea,1979,20.1,f,21.1,m
71,Greece,1979,24.1,f,24.8,m
72,Grenada,1979,24.1,f,23.3,m
73,Greenland,1979,25.9,f,24.5,m
74,Guatemala,1979,22.9,f,23.2,m
75,Guyana,1979,23.6,f,22.7,m
76,"Hong Kong, China",1979,21.7,f,21.6,m
77,Honduras,1979,23.0,f,23.1,m
78,Croatia,1979,25.2,f,25.3,m
79,Haiti,1979,20.8,f,22.9,m
80,Hungary,1979,25.1,f,25.3,m
81,Indonesia,1979,20.1,f,19.9,m
82,India,1979,20.5,f,21.1,m
83,Ireland,1979,24.6,f,25.8,m
84,Iran,1979,23.4,f,23.2,m
85,Iraq,1979,26.3,f,25.0,m
86,Iceland,1979,24.1,f,24.8,m
87,Israel,1979,24.4,f,24.8,m
88,Italy,1979,25.2,f,25.4,m
89,Jamaica,1979,24.7,f,22.3,m
90,Jordan,1979,27.5,f,24.6,m
91,Japan,1979,21.3,f,22.1,m
92,Kazakhstan,1979,25.3,f,24.6,m
93,Kenya,1979,20.8,f,20.3,m
94,Kyrgyz Republic,1979,25.2,f,24.4,m
95,Cambodia,1979,19.6,f,19.7,m
96,Kiribati,1979,25.9,f,25.5,m
97,St. Kitts and Nevis,1979,26.4,f,25.3,m
98,South Korea,1979,21.3,f,22.1,m
99,Kuwait,1979,28.1,f,25.5,m
100,Lao,1979,19.6,f,19.6,m
101,Lebanon,1979,24.3,f,23.9,m
102,Liberia,1979,21.4,f,21.1,m
103,Libya,1979,26.8,f,24.4,m
104,St. Lucia,1979,24.0,f,22.8,m
105,Sri Lanka,1979,20.9,f,20.4,m
106,Lesotho,1979,25.2,f,20.6,m
107,Lithuania,1979,27.0,f,26.0,m
108,Luxembourg,1979,24.2,f,25.0,m
