country,deaths
China,301814.81481481483
United States,97729.62962962964
Russia,49762.96296296296
Japan,42366.666666666664
India,32470.37037037037
Germany,31118.51851851852
Italy,27218.51851851852
France,23159.25925925926
United Kingdom,22651.85185185185
Poland,17100.0
Vietnam,16522.222222222223
Spain,16444.444444444445
Ukraine,16325.925925925925
Turkey,15000.0
Brazil,13495.185185185184
Bangladesh,10692.592592592593
South Korea,10447.037037037036
Canada,10440.74074074074
Thailand,9670.37037037037
Pakistan,7863.7037037037035
Indonesia,7798.518518518518
Argentina,7323.333333333333
Netherlands,7312.962962962963
North Korea,7191.481481481482
Romania,7042.222222222223
Myanmar,6863.7037037037035
Philippines,6428.888888888889
Hungary,5836.666666666667
Belgium,5538.518518518518
Greece,5511.851851851852
Taiwan,5012.592592592592
Australia,4804.444444444444
Mexico,4722.592592592592
Czech Republic,4380.37037037037
South Africa,4057.777777777778
Serbia,4054.074074074074
Serbia and Montenegro,3520.0
Belarus,3512.962962962963
Kazakhstan,3422.222222222222
Iran,3117.4074074074074
Cuba,2931.8518518518517
Portugal,2895.185185185185
Bulgaria,2812.5925925925926
Morocco,2482.222222222222
Austria,2435.925925925926
Malaysia,2321.4814814814813
Colombia,2287.777777777778
Switzerland,2253.3333333333335
Croatia,2213.703703703704
Denmark,2168.8888888888887
Egypt,2140.740740740741
Sweden,1926.2962962962963
Slovak Republic,1807.4074074074074
Venezuela,1758.5185185185185
Nigeria,1635.5555555555557
Bosnia and Herzegovina,1597.037037037037
Finland,1518.888888888889
Chile,1512.2222222222222
Tunisia,1461.4814814814815
Lithuania,1275.1851851851852
Ethiopia,1268.888888888889
Algeria,1262.5925925925926
Norway,1239.6296296296296
Afghanistan,1214.6296296296296
Uzbekistan,1208.5185185185185
Uruguay,1178.148148148148
Israel,1129.5925925925926
Peru,1087.9259259259259
Ireland,1071.851851851852
Iraq,1064.5925925925926
Cambodia,1007.3333333333334
"Congo, Dem. Rep.",926.4444444444445
Azerbaijan,925.6296296296297
Latvia,915.2962962962963
New Zealand,899.6666666666666
Georgia,893.1111111111111
Armenia,883.0370370370371
Sudan,867.5185185185185
Moldova,831.9629629629629
Sri Lanka,815.7037037037037
Slovenia,796.3333333333334
Singapore,658.1851851851852
Yemen,655.5555555555555
Nepal,652.5925925925926
North Macedonia,651.2222222222222
Albania,636.4814814814815
Tanzania,617.0
Estonia,584.2222222222222
Cameroon,569.8518518518518
Libya,530.8888888888889
Lebanon,511.037037037037
Haiti,480.18518518518516
Saudi Arabia,475.962962962963
Syria,471.8888888888889
Ecuador,446.18518518518516
Zimbabwe,438.48148148148147
Puerto Rico,430.85185185185185
Dominican Republic,420.74074074074076
Kyrgyz Republic,402.77777777777777
Cote d'Ivoire,392.22222222222223
Ghana,387.48148148148147
Lao,375.77777777777777
Uganda,370.85185185185185
Paraguay,370.18518518518516
Bolivia,361.18518518518516
Angola,343.44444444444446
Jamaica,325.77777777777777
Mozambique,315.9259259259259
Senegal,313.962962962963
Papua New Guinea,311.77777777777777
Mongolia,307.77777777777777
Guinea,300.0
Kenya,278.44444444444446
Guatemala,272.8888888888889
Montenegro,261.037037037037
Jordan,238.88888888888889
Niger,223.11111111111111
Turkmenistan,200.5185185185185
Madagascar,199.55555555555554
Chad,197.44444444444446
Benin,195.7037037037037
Panama,192.11111111111111
Costa Rica,187.25925925925927
Malawi,179.0
Mali,174.66666666666666
Palestine,174.56296296296296
Tajikistan,172.88888888888889
El Salvador,171.40740740740742
Honduras,170.87037037037038
Central African Republic,168.37037037037038
Burkina Faso,167.8148148148148
Luxembourg,166.74074074074073
Cyprus,164.88888888888889
Lesotho,159.44444444444446
Togo,153.02962962962962
Zambia,147.22592592592594
Botswana,131.62592592592594
United Arab Emirates,117.73703703703704
Rwanda,111.22592592592592
Burundi,110.97037037037036
Malta,110.51481481481481
Sierra Leone,109.62592592592593
"Congo, Rep.",105.26666666666667
Somalia,103.40370370370371
Nicaragua,101.07407407407408
Trinidad and Tobago,98.16666666666667
South Sudan,93.4074074074074
Mauritius,93.08888888888889
Eswatini,71.65185185185184
Mauritania,64.85185185185185
Kuwait,60.32222222222222
Iceland,59.8074074074074
Oman,51.088888888888896
Gabon,50.77777777777778
Eritrea,48.52222222222222
Bahrain,47.729629629629635
Liberia,47.65925925925926
Guinea-Bissau,46.92962962962962
French Polynesia,35.0
Suriname,32.65555555555556
Qatar,31.537037037037038
Guam,31.514814814814812
Namibia,31.44814814814815
Solomon Islands,31.29259259259259
Timor-Leste,31.196296296296296
Cape Verde,26.544444444444448
Brunei,26.01851851851852
Bahamas,25.303703703703704
Greenland,24.925925925925927
Gambia,23.87037037037037
Fiji,23.77037037037037
Barbados,21.44074074074074
Guyana,21.38148148148148
Equatorial Guinea,19.822222222222223
Andorra,18.874074074074073
Belize,16.06037037037037
Vanuatu,15.94074074074074
Tonga,14.696296296296296
Bermuda,14.018518518518519
Bhutan,13.69888888888889
Djibouti,12.973703703703704
Maldives,12.962962962962964
St. Lucia,9.695555555555554
"Micronesia, Fed. Sts.",8.521851851851851
Seychelles,8.520740740740742
Comoros,7.843703703703704
Sao Tome and Principe,7.7844444444444445
Grenada,7.1503703703703705
Dominica,6.936296296296296
Northern Mariana Islands,6.45074074074074
St. Vincent and the Grenadines,5.847037037037037
Samoa,5.585555555555556
Kiribati,5.567777777777779
American Samoa,4.968518518518518
Antigua and Barbuda,3.86
Marshall Islands,3.2025925925925924
